id,trial,top_idx,within_idx,between_idx,within_is_left_or_right,trial_type,question_type,question_idx,choice,rt,stim_onset,IG,IG2,targRace,targGend,winRace,winGend,btwnRace,btwnGend,winRaceMatch,btwnRaceMatch,winGendMatch,btwnGendMatch,comparison,question
data_1_,64,8,4,11,2,2,4,4,2,2.476,183549.1344,1,1,Asian,F,Asian,M,White,M,1,0,0,0,Two-step,Similarity
data_1_,65,4,8,15,2,2,2,13,1,5.0891,183552.1554,0,1,Asian,M,Asian,F,Black,M,1,0,0,1,Two-step,Neg Action
data_1_,66,14,3,13,2,3,4,4,1,4.1193,183557.766,0,0,White,M,Asian,F,White,F,0,1,0,0,One-versus-two-step,Similarity
data_1_,67,14,3,11,2,2,4,4,1,1.9654,183562.4137,0,0,White,M,Asian,F,White,M,0,1,0,1,Two-step,Similarity
data_1_,68,9,13,8,1,3,1,5,2,5.4886,183564.9036,0,0,Hispanic,M,White,F,Asian,F,0,0,0,0,One-versus-two-step,Pos Action
data_1_,69,13,9,14,1,3,1,9,1,3.5833,183570.9125,1,1,White,F,Hispanic,M,White,M,0,1,0,0,One-versus-two-step,Pos Action
data_1_,70,4,7,3,1,1,2,12,2,2.2897,183575.0291,0,1,Asian,M,White,F,Asian,F,0,1,0,0,One-step,Neg Action
data_1_,71,9,10,8,1,1,3,3,2,2.6737,183577.851,0,0,Hispanic,M,Black,F,Asian,F,0,0,0,0,One-step,Friendship
data_1_,72,8,5,9,1,1,4,4,2,2.1076,183581.0546,0,0,Asian,F,Black,M,Hispanic,M,0,0,0,0,One-step,Similarity
data_10,1,8,4,9,1,3,2,11,2,6.1191,137201.7482,0,1,Asian,M,Black,F,White,F,0,0,0,0,One-versus-two-step,Neg Action
data_10,2,8,4,9,1,3,3,3,1,3.7374,137208.4013,1,1,Asian,M,Black,F,White,F,0,0,0,0,One-versus-two-step,Friendship
data_10,3,9,13,5,1,2,1,6,2,3.961,137212.67,0,0,White,F,Black,M,White,M,0,1,0,0,Two-step,Pos Action
data_10,4,9,13,7,1,2,3,3,2,3.9379,137217.1555,0,0,White,F,Black,M,White,F,0,1,0,1,Two-step,Friendship
data_10,5,9,10,8,1,1,2,12,2,6.7709,137221.6241,0,1,White,F,White,M,Asian,M,1,0,0,0,One-step,Neg Action
data_10,6,13,9,1,2,2,3,3,1,6.1348,137228.9277,0,0,Black,M,White,F,White,M,0,0,0,1,Two-step,Friendship
data_10,7,4,7,3,2,1,1,9,1,4.4671,137235.5975,0,0,Black,F,White,F,Black,M,0,1,1,0,One-step,Pos Action
data_10,8,3,14,7,2,2,3,3,2,5.0006,137240.5999,1,1,Black,M,Hispanic,M,White,F,0,0,1,0,Two-step,Friendship
data_10,9,3,14,7,1,2,1,7,1,4.1033,137246.1359,1,1,Black,M,Hispanic,M,White,F,0,0,1,0,Two-step,Pos Action
data_10,10,4,8,3,1,3,4,4,1,5.6614,137250.7714,1,1,Black,F,Asian,M,Black,M,0,1,0,0,One-versus-two-step,Similarity
data_10,11,8,7,9,2,1,3,3,2,10.7764,137256.9577,1,1,Asian,M,White,F,White,F,0,0,0,0,One-step,Friendship
data_10,12,14,3,13,1,3,1,8,2,5.9128,137268.263,0,0,Hispanic,M,Black,M,Black,M,0,0,1,1,One-versus-two-step,Pos Action
data_10,13,13,9,15,1,2,2,13,1,4.0796,137274.6994,1,0,Black,M,White,F,Asian,F,0,0,0,0,Two-step,Neg Action
data_10,14,4,8,3,1,3,3,3,1,6.8063,137279.3016,1,1,Black,F,Asian,M,Black,M,0,1,0,0,One-versus-two-step,Friendship
data_10,15,14,1,13,2,1,1,1,2,6.2743,137286.6384,1,1,Hispanic,M,White,M,Black,M,0,0,1,1,One-step,Pos Action
data_10,16,14,1,13,1,1,3,3,2,6.0667,137293.4416,0,0,Hispanic,M,White,M,Black,M,0,0,1,1,One-step,Friendship
data_10,17,14,3,11,2,2,3,3,1,3.7592,137300.0447,0,0,Hispanic,M,Black,M,Asian,F,0,0,1,0,Two-step,Friendship
data_10,18,14,3,13,1,3,3,3,1,3.6759,137304.3301,1,1,Hispanic,M,Black,M,Black,M,0,0,1,1,One-versus-two-step,Friendship
